,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
13695,atrocités,2.96,(atroce)>ités>,"(0, 1, 1)",3,16.1699999999999,6,33.3333333333333,60,83.33,4,11.6666666666666,2
13705,attachant,1.14,(attacher)>ant/ent>,"(0, 1, 1)",4,60.71,8,75,522,3302.43999999999,7,43.103448275862,2
13711,attachement,3.33,(attacher)>ment>,"(0, 1, 1)",4,60.71,8,25,919,5042.80999999999,4,19.3688792165397,2
13719,attaqua,86.59,(attaque)>[VB]>,"(0, 1, 1)",4,157.689999999999,7,0,1600,25208.9699999999,2,3.1875,2
13722,attaquant,1.6,(attaque)>ant/ent>,"(0, 1, 1)",4,157.689999999999,7,50,522,3302.43999999999,7,37.3563218390804,2
13762,attelage,1.53,(atteler)>age>,"(0, 1, 1)",2,2.79,7,0,201,707.48,3,34.8258706467661,2
13770,attenant,0.05,(attendre/te)>ant/ent>,"(0, 1, 1)",3,1385.82999999999,11,66.6666666666666,522,3302.43999999999,7,84.2911877394636,2
13810,attentat,14.58,(attenter)>at>,"(0, 1, 1)",2,14.97,8,0,36,166.91,2,5.55555555555555,2
13815,attentif,6.66,(attention)>if>,"(0, 1, 1)",5,335.61,9,40,168,409.409999999999,2,11.9047619047619,2
13818,attentionné,2.42,(attention)>é2>,"(0, 1, 1)",5,335.61,9,60,1,2.42,2,0,2
13849,attirance,2.38,(attirer)>nce>,"(0, 1, 1)",5,68.6,7,60,213,1491.29,3,38.4976525821596,2
13863,attraction,7.43999999999999,(attirer)>ion>,"(0, 1, 1)",5,68.6,7,20,766,3498.54,3,15.6657963446475,2
13883,attribua,6.95,(attribut)>[VB]>,"(0, 1, 1)",3,9.48,8,0,1600,25208.9699999999,2,22.875,2
13894,attribution,1.4,(attribut)>ion>,"(0, 1, 1)",3,9.48,8,33.3333333333333,766,3498.54,3,50.7832898172323,2
13904,aubergiste,1.91,(auberge)>iste>,"(0, 1, 1)",2,16.3499999999999,7,50,119,322.749999999999,4,23.5294117647058,2
13905,aucunement,1.01,(aucun)>ment>,"(0, 1, 1)",2,477.34,5,50,919,5042.80999999999,4,41.5669205658324,2
13906,audacieuse,4.52,(audace)>eux>,"(0, 1, 1)",2,9.63999999999999,6,50,271,1027.7,3,12.9151291512915,2
13908,audible,0.22,(audio)>able>,"(0, 1, 1)",9,39.35,5,88.8888888888888,313,1042.69,4,76.3578274760383,2
13909,auditeur,3.06,(audio)>eur>,"(0, 1, 1)",9,39.35,5,33.3333333333333,501,2127.06,3,24.750499001996,2
13911,audition,11.63,(audio)>ion>,"(0, 1, 1)",9,39.35,5,11.1111111111111,766,3498.54,3,9.66057441253263,2
13914,auditoire,0.58,(audio)>oire>,"(0, 1, 1)",9,39.35,5,77.7777777777777,47,114.259999999999,4,59.5744680851063,2
13917,augmentation,6.61,(augmenter)>ion>,"(0, 1, 1)",2,33.66,9,50,766,3498.54,3,18.0156657963446,2
13924,aumônerie,0.02,(aumône)>erie>,"(0, 1, 1)",3,4.55,6,66.6666666666666,109,267.479999999999,4,88.9908256880734,2
13925,aumônier,1.44,(aumône)>ier>,"(0, 1, 1)",3,4.55,6,33.3333333333333,181,847.1,3,39.7790055248618,2
13929,auréolé,0.45,(auréole)>é>,"(0, 1, 1)",2,1.88,7,50,57,846.24,1,52.6315789473684,2
13936,austérité,0.64,(austère)>ité>,"(0, 1, 1)",2,2.15,7,50,334,1491.88,3,59.5808383233532,2
13938,authenticité,1.05,(authentique)>ité>,"(0, 1, 1)",2,10.44,11,50,334,1491.88,3,45.5089820359281,2
13950,automatique,9.88,(automat)>ique>,"(0, 1, 1)",3,12.66,7,0,281,852.449999999999,4,6.04982206405693,2
13953,automatisme,0.17,(automat)>isme>,"(0, 1, 1)",3,12.66,7,66.6666666666666,91,100.85,4,68.1318681318681,2
13955,automnal,0.11,(automne)>al>,"(0, 1, 1)",2,16.99,7,50,200,1125.04,2,82,2
13962,autorisation,21.1,(autoriser)>ion>,"(0, 1, 1)",4,84.83,9,50,766,3498.54,3,3.91644908616188,2
13971,autorité,32.94,(autoriser)>ité>,"(0, 1, 1)",4,84.83,9,0,334,1491.88,3,2.09580838323353,2
