,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,PREF_2_FamSize,PREF_2_Freq,PREF_2_Length,PREF_2_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
7471,rempailleurs,0,<re<<en<(paille)>eur>,"(2, 1, 1)",434,6595.02,2,93.5483870967741,218,2094.69,2,90.3669724770642,9,13.53,6,66.6666666666666,501,2127.06,3,93.4131736526946,4
7474,remplaçante,2.63,<re<<en<(place)>ant/ent>,"(2, 1, 1)",434,6595.02,2,35.9447004608294,218,2094.69,2,30.2752293577981,7,110.24,5,57.1428571428571,522,3302.43999999999,7,28.5440613026819,4
7476,remplacement,1.86,<re<<en<(place)>ment>,"(2, 1, 1)",434,6595.02,2,43.0875576036866,218,2094.69,2,35.7798165137614,7,110.24,5,71.4285714285714,919,5042.80999999999,4,27.8563656147986,4
7540,renfoncement,0.03,<re<<en<(foncer)>ment>,"(2, 1, 1)",434,6595.02,2,86.1751152073732,218,2094.69,2,82.1100917431192,5,49.76,6,80,919,5042.80999999999,4,86.7247007616974,4
7544,rengorgements,0,<re<<en<(gorge)>ment>,"(2, 1, 1)",434,6595.02,2,93.5483870967741,218,2094.69,2,90.3669724770642,7,47.33,5,85.7142857142857,919,5042.80999999999,4,93.4711643090315,4
7561,renversement,0.25,<re<<en<(verse)>ment>,"(2, 1, 1)",434,6595.02,2,73.0414746543778,218,2094.69,2,65.137614678899,12,412.229999999999,5,58.3333333333333,919,5042.80999999999,4,68.0087051142546,4
16404,coalition,1.29,<co<<a<(lier)>ion>,"(2, 1, 1)",24,73.72,2,50,271,2142.22,1,42.4354243542435,12,113.24,4,50,766,3498.54,3,52.3498694516971,4
19637,désagrégation,0.1,<dé<<a<(grèg)>ion>,"(2, 1, 1)",422,1752.69,2,72.0379146919431,271,2142.22,1,83.3948339483394,6,3.19,4,83.3333333333333,766,3498.54,3,89.1644908616187,4
19687,désembrouiller,0.01,<dé<<en<(brouiller)>[VB]>,"(2, 1, 1)",422,1752.69,2,85.3080568720379,218,2094.69,2,86.2385321100917,11,82.22,9,81.8181818181818,1600,25208.9699999999,2,86.3125,4
19748,désincarnant,0.04,<dé<<in<(carni)>[VB]>,"(2, 1, 1)",422,1752.69,2,77.2511848341232,427,1478.96,2,87.8220140515222,8,13.1299999999999,5,75,1600,25208.9699999999,2,79.8125,4
20483,dissymétriques,0,<dé<<syn<(mètre)>ique>,"(2, 1, 1)",422,1752.69,2,90.2843601895734,8,28.31,3,87.5,16,98.51,5,93.75,281,852.449999999999,4,94.306049822064,4
26554,imprévisible,4.92,<in<<pré<(voir)>able>,"(2, 1, 1)",427,1478.96,2,12.6463700234192,49,209.31,3,20.4081632653061,28,3534.49,4,32.1428571428571,313,1042.69,4,14.0575079872204,4
26621,inappréciable,0,<in<<a<(prix)>able>,"(2, 1, 1)",427,1478.96,2,95.0819672131147,271,2142.22,1,95.2029520295202,10,227.819999999999,4,90,313,1042.69,4,95.5271565495207,4
26727,incommensurable,0.16,<in<<com<(mesure)>able>,"(2, 1, 1)",427,1478.96,2,80.0936768149882,14,28.22,3,64.2857142857142,8,53.09,6,50,313,1042.69,4,78.5942492012779,4
26819,indécollables,0,<in<<dé<(colle)>able>,"(2, 1, 1)",427,1478.96,2,95.0819672131147,422,1752.69,2,90.2843601895734,9,92.78,5,77.7777777777777,313,1042.69,4,95.5271565495207,4
26820,indécrottable,0.16,<in<<dé<(crotte)>able>,"(2, 1, 1)",427,1478.96,2,80.0936768149882,422,1752.69,2,67.7725118483412,4,7.27,6,50,313,1042.69,4,78.5942492012779,4
26834,indéracinable,0,<in<<dé<(racine)>able>,"(2, 1, 1)",427,1478.96,2,95.0819672131147,422,1752.69,2,90.2843601895734,3,12.61,6,66.6666666666666,313,1042.69,4,95.5271565495207,4
27267,insoutenable,0.88,<in<<sous<(tenir)>able>,"(2, 1, 1)",427,1478.96,2,48.2435597189695,15,98.6,4,53.3333333333333,25,976.42,5,60,313,1042.69,4,49.5207667731629,4
27368,insurmontable,0.78,<in<<sur<(monter)>able>,"(2, 1, 1)",427,1478.96,2,51.0538641686182,55,248.22,3,41.8181818181818,9,405.37,6,88.8888888888888,313,1042.69,4,52.3961661341853,4
27727,irréconciliable,0.28,<in<<re<(concile)>able>,"(2, 1, 1)",427,1478.96,2,73.7704918032786,434,6595.02,2,71.4285714285714,10,10.93,7,60,313,1042.69,4,72.8434504792332,4
33170,raccommoder,0.25,<re<<a<(commode)>[VB]>,"(2, 1, 1)",434,6595.02,2,73.0414746543778,271,2142.22,1,75.2767527675276,7,11,7,57.1428571428571,1600,25208.9699999999,2,67.625,4
33171,raccompagna,23.0999999999999,<re<<a<(compagne)>[VB]>,"(2, 1, 1)",434,6595.02,2,11.0599078341013,271,2142.22,1,8.8560885608856,7,208.42,8,28.5714285714285,1600,25208.9699999999,2,11.875,4
33178,raccourci,7.81,<re<<a<(court)>[VB]>,"(2, 1, 1)",434,6595.02,2,21.1981566820276,271,2142.22,1,15.1291512915129,11,99.4599999999999,5,9.09090909090909,1600,25208.9699999999,2,21.0625,4
33181,raccrocha,26.22,<re<<a<(croche)>[VB]>,"(2, 1, 1)",434,6595.02,2,9.21658986175115,271,2142.22,1,7.380073800738,7,115.36,6,14.2857142857142,1600,25208.9699999999,2,10.375,4
33233,radoucissait,0,<re<<a<(doux)>[VB]>,"(2, 1, 1)",434,6595.02,2,93.5483870967741,271,2142.22,1,95.2029520295202,7,229.32,4,85.7142857142857,1600,25208.9699999999,2,91.125,4
33234,raffermi,0.22,<re<<a<(ferme)>[VB]>,"(2, 1, 1)",434,6595.02,2,74.8847926267281,271,2142.22,1,77.490774907749,7,207.77,5,71.4285714285714,1600,25208.9699999999,2,68.75,4
