,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
32673,prévoyance,0.43,<pré<(voy)>nce>,"(1, 1, 1)",49,209.31,3,61.2244897959183,7,30.5,3,57.1428571428571,213,1491.29,3,71.8309859154929,3
32674,prévoyant,0.66,<pré<(voy)>ant/ent>,"(1, 1, 1)",49,209.31,3,57.1428571428571,7,30.5,3,42.8571428571428,522,3302.43999999999,7,54.5977011494252,3
32771,proclamation,0.6,<pro<(clamer)>ion>,"(1, 1, 1)",15,37.76,3,60,12,34.87,6,58.3333333333333,766,3498.54,3,69.0600522193211,3
32777,procréation,0.4,<pro<(créer)>ion>,"(1, 1, 1)",15,37.76,3,66.6666666666666,9,146.2,5,77.7777777777777,766,3498.54,3,76.7624020887728,3
32892,prolonge,5.7,<pro<(long)>[VB]>,"(1, 1, 1)",15,37.76,3,6.66666666666666,13,547.88,4,30.7692307692307,1600,25208.9699999999,2,26.125,3
32935,proportionné,0.22,<pro<(portion)>[VB]>,"(1, 1, 1)",15,37.76,3,80,2,3.71,7,50,1600,25208.9699999999,2,68.75,3
33167,rabougri,0.25,<re<(bougre)>[VB]>,"(1, 1, 1)",434,6595.02,2,73.0414746543778,3,5.52999999999999,6,66.6666666666666,1600,25208.9699999999,2,67.625,3
33202,racontes,250.78,<re<(conte)>[VB]>,"(1, 1, 1)",434,6595.02,2,1.15207373271889,5,268.43,5,0,1600,25208.9699999999,2,0.9375,3
33255,ragaillardi,0.03,<re<(gaillard)>[VB]>,"(1, 1, 1)",434,6595.02,2,86.1751152073732,3,3.95999999999999,8,33.3333333333333,1600,25208.9699999999,2,81.625,3
33288,rajoutait,10.02,<re<(ajout)>[VB]>,"(1, 1, 1)",434,6595.02,2,17.9723502304147,4,45.6999999999999,5,25,1600,25208.9699999999,2,18.3125,3
33405,rappela,277.89,<re<(appel)>[VB]>,"(1, 1, 1)",434,6595.02,2,0.921658986175115,6,1550.54,5,16.6666666666666,1600,25208.9699999999,2,0.875,3
33487,rasséréna,0.01,<re<(serein)>[VB]>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,4,9.47,6,75,1600,25208.9699999999,2,86.3125,3
33564,ravisa,0.4,<re<(avis)>[VB]>,"(1, 1, 1)",434,6595.02,2,68.4331797235023,4,149.02,4,75,1600,25208.9699999999,2,63.6875,3
33620,rebondir,2.24,<re<(bond)>[VB]>,"(1, 1, 1)",434,6595.02,2,38.9400921658986,5,13.9599999999999,4,40,1600,25208.9699999999,2,38.5,3
33624,reboucla,0,<re<(boucle)>[VB]>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,5,44.7799999999999,6,60,1600,25208.9699999999,2,91.125,3
33626,reboutonné,0,<re<(bouton)>[VB]>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,6,35.07,6,83.3333333333333,1600,25208.9699999999,2,91.125,3
33638,recalcule,0.01,<re<(calcul)>[VB]>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,4,23.3699999999999,6,75,1600,25208.9699999999,2,86.3125,3
33642,recaserai,0.01,<re<(case)>[VB]>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,3,7.71999999999999,4,66.6666666666666,1600,25208.9699999999,2,86.3125,3
33647,recentrée,0,<re<(centre)>[VB]>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,9,96.55,6,88.8888888888888,1600,25208.9699999999,2,91.125,3
33656,recharger,2.71,<re<(charge)>[VB]>,"(1, 1, 1)",434,6595.02,2,35.2534562211981,12,183.5,6,58.3333333333333,1600,25208.9699999999,2,35.5625,3
33658,réchauffait,12.78,<re<(chaud)>[VB]>,"(1, 1, 1)",434,6595.02,2,16.589861751152,14,223.56,5,21.4285714285714,1600,25208.9699999999,2,16.25,3
33696,recoiffa,0.01,<re<(coiffe)>[VB]>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,5,34.0099999999999,6,80,1600,25208.9699999999,2,86.3125,3
33700,recoller,1.94,<re<(colle)>[VB]>,"(1, 1, 1)",434,6595.02,2,41.9354838709677,9,92.78,5,55.5555555555555,1600,25208.9699999999,2,40.5625,3
33735,réconcilié,5.98,<re<(concile)>[VB]>,"(1, 1, 1)",434,6595.02,2,23.9631336405529,10,10.93,7,0,1600,25208.9699999999,2,25.5625,3
33740,réconfortait,7.17,<re<(confort)>[VB]>,"(1, 1, 1)",434,6595.02,2,22.5806451612903,9,35.51,7,11.1111111111111,1600,25208.9699999999,2,22.5,3
33756,recopié,1.05,<re<(copie)>[VB]>,"(1, 1, 1)",434,6595.02,2,54.147465437788,5,39.47,5,80,1600,25208.9699999999,2,50.7499999999999,3
33765,recourbé,0.06,<re<(courbe)>[VB]>,"(1, 1, 1)",434,6595.02,2,83.1797235023041,6,7.98999999999999,6,66.6666666666666,1600,25208.9699999999,2,77,3
33781,recroise,0.04,<re<(croix)>[VB]>,"(1, 1, 1)",434,6595.02,2,85.0230414746543,11,979.359999999999,5,54.5454545454545,1600,25208.9699999999,2,79.8125,3
33816,reculotta,0,<re<(culotte)>[VB]>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,4,18.34,7,75,1600,25208.9699999999,2,91.125,3
33832,recycler,0.56,<re<(cycle)>[VB]>,"(1, 1, 1)",434,6595.02,2,64.7465437788018,11,20.04,5,36.3636363636363,1600,25208.9699999999,2,59.6249999999999,3
33833,redemanda,2.59,<re<(demande)>[VB]>,"(1, 1, 1)",434,6595.02,2,36.1751152073732,3,974.36,7,66.6666666666666,1600,25208.9699999999,2,36.3125,3
33843,redevable,3.46,<re<(devoir)>able>,"(1, 1, 1)",434,6595.02,2,32.258064516129,4,3297.93999999999,6,25,313,1042.69,4,18.2108626198083,3
33844,rediffusent,0.05,<re<(diffuser)>[VB]>,"(1, 1, 1)",434,6595.02,2,84.1013824884792,4,11.37,8,75,1600,25208.9699999999,2,78.25,3
33855,redonnait,7.8,<re<(don)>[VB]>,"(1, 1, 1)",434,6595.02,2,21.4285714285714,7,1324.87,3,28.5714285714285,1600,25208.9699999999,2,21.125,3
33862,redoubla,1.75999999999999,<re<(double)>[VB]>,"(1, 1, 1)",434,6595.02,2,44.2396313364055,8,72.19,6,25,1600,25208.9699999999,2,42.0625,3
33868,redoutable,5.94,<re<(doute)>able>,"(1, 1, 1)",434,6595.02,2,24.1935483870967,6,200.49,5,50,313,1042.69,4,10.5431309904153,3
33869,redoutais,6.04,<re<(doute)>[VB]>,"(1, 1, 1)",434,6595.02,2,23.5023041474654,6,200.49,5,33.3333333333333,1600,25208.9699999999,2,25.4375,3
33894,réexaminée,0.02,<re<(examen)>[VB]>,"(1, 1, 1)",434,6595.02,2,87.7880184331797,3,80.05,6,66.6666666666666,1600,25208.9699999999,2,83.4375,3
33941,refluait,0.13,<re<(flux)>[VB]>,"(1, 1, 1)",434,6595.02,2,79.7235023041474,12,12.32,4,66.6666666666666,1600,25208.9699999999,2,73.375,3
33946,réforma,4.34,<re<(forme)>[VB]>,"(1, 1, 1)",434,6595.02,2,29.4930875576036,29,262.78,5,27.5862068965517,1600,25208.9699999999,2,29.9375,3
33963,réfractaire,0.18,<re<(fract)>aire>,"(1, 1, 1)",434,6595.02,2,77.1889400921659,6,21.89,5,66.6666666666666,179,853.76,4,81.0055865921787,3
33965,réfrigérant,10.0799999999999,<re<(froid)>[VB]>,"(1, 1, 1)",434,6595.02,2,17.7419354838709,11,194.89,5,18.1818181818181,1600,25208.9699999999,2,18.1875,3
34056,régénérateur,0.2,<re<(générer)>eur>,"(1, 1, 1)",434,6595.02,2,76.036866359447,9,40.4,7,88.8888888888888,501,2127.06,3,72.0558882235529,3
34098,regorge,1.68,<re<(gorge)>[VB]>,"(1, 1, 1)",434,6595.02,2,45.1612903225806,7,47.33,5,42.8571428571428,1600,25208.9699999999,2,43.4375,3
34122,regrouper,1,<re<(groupe)>[VB]>,"(1, 1, 1)",434,6595.02,2,55.0691244239631,5,109.99,6,40,1600,25208.9699999999,2,51.6875,3
34126,réhabiliter,0.28,<re<(habile)>it[VB]>,"(1, 1, 1)",434,6595.02,2,71.4285714285714,6,11.0199999999999,6,66.6666666666666,4,18.81,5,75,3
34127,rehaussaient,0.25,<re<(hausse)>[VB]>,"(1, 1, 1)",434,6595.02,2,73.0414746543778,4,4.72999999999999,6,50,1600,25208.9699999999,2,67.625,3
