,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,n_morphemes
19809,désordre,13.64,<dé<(ordre),"(1, 1, 0)",422,1752.69,2,7.34597156398104,8,279.32,5,12.5,2
19826,desserra,0.809999999999999,<dé<(serrer),"(1, 1, 0)",422,1752.69,2,47.1563981042654,7,71.78,6,28.5714285714285,2
19831,desservir,0.07,<dé<(servir),"(1, 1, 0)",422,1752.69,2,73.6966824644549,13,549.12,6,76.9230769230769,2
19897,déteint,0.73,<dé<(teindre),"(1, 1, 0)",422,1752.69,2,48.8151658767772,5,13.95,7,80,2
19898,détenaient,24.56,<dé<(tenir),"(1, 1, 0)",422,1752.69,2,3.08056872037914,25,976.42,5,16,2
19900,détend,50.83,<dé<(tendre),"(1, 1, 0)",422,1752.69,2,0.947867298578199,17,196.97,6,5.88235294117647,2
19945,détour,6.81999999999999,<dé<(tour),"(1, 1, 0)",422,1752.69,2,12.085308056872,31,1014.31,4,29.0322580645161,2
19963,détraqué,2.25,<dé<(traquer),"(1, 1, 0)",422,1752.69,2,26.303317535545,3,15.56,7,33.3333333333333,2
19965,détrempaient,0.229999999999999,<dé<(tremper),"(1, 1, 0)",422,1752.69,2,64.691943127962,4,21.52,7,50,2
19969,détromper,1.61,<dé<(tromper),"(1, 1, 0)",422,1752.69,2,31.2796208530805,5,164.07,7,60,2
20023,déveine,0.33,<dé<(veine),"(1, 1, 0)",422,1752.69,2,58.7677725118483,6,26.95,5,33.3333333333333,2
20043,déversaient,1.33,<dé<(verser),"(1, 1, 0)",422,1752.69,2,36.2559241706161,6,61.37,6,50,2
20048,dévêtir,0.47,<dé<(vêtir),"(1, 1, 0)",422,1752.69,2,54.2654028436019,10,84.3,5,90,2
20125,dévore,16.3,<dé<(vore),"(1, 1, 0)",422,1752.69,2,6.63507109004739,7,19.97,4,0,2
20135,dévouât,8.61,<dé<(vouer),"(1, 1, 0)",422,1752.69,2,9.95260663507109,8,22.72,5,0,2
20161,dialecte,1.44,<dia<(lecte),"(1, 1, 0)",4,19.02,3,25,5,24.42,5,40,2
20165,dialogue,16.72,<dia<(logue/ie),"(1, 1, 0)",4,19.02,3,0,55,105.27,8,1.81818181818181,2
20204,difforme,1.19,<dé<(forme),"(1, 1, 0)",422,1752.69,2,38.8625592417061,29,262.78,5,62.0689655172413,2
20308,discernait,0.34,<dé<(cerne),"(1, 1, 0)",422,1752.69,2,58.2938388625592,5,10.8799999999999,5,80,2
20316,discorde,1.35,<dé<(corde),"(1, 1, 0)",422,1752.69,2,35.5450236966824,13,100.49,5,38.4615384615384,2
20346,disgrâce,1.76,<dé<(grâce),"(1, 1, 0)",422,1752.69,2,29.3838862559241,12,145.8,5,33.3333333333333,2
20350,disjoint,0.229999999999999,<dé<(joindre),"(1, 1, 0)",422,1752.69,2,64.691943127962,17,174.299999999999,7,82.3529411764705,2
20359,disparais,136.26,<dé<(parer),"(1, 1, 0)",422,1752.69,2,0,13,316.24,5,7.69230769230769,2
20360,disparaissaient,47.28,<dé<(paraître),"(1, 1, 0)",422,1752.69,2,1.65876777251184,15,191.39,8,0,2
20428,disproportions,0,<dé<(proportion),"(1, 1, 0)",422,1752.69,2,90.2843601895734,2,3.17,10,50,2
20445,disséminé,0.03,<dé<(séminé),"(1, 1, 0)",422,1752.69,2,79.3838862559241,1,0.03,6,0,2
20446,disséminée,0.02,<dé<(séminée),"(1, 1, 0)",422,1752.69,2,82.4644549763033,1,0.02,7,0,2
20447,disséminés,0.21,<dé<(séminés),"(1, 1, 0)",422,1752.69,2,65.8767772511848,1,0.21,7,0,2
20448,disséquée,0.07,<dé<(séquée),"(1, 1, 0)",422,1752.69,2,73.6966824644549,1,0.07,6,0,2
20507,distordant,0,<dé<(tordre),"(1, 1, 0)",422,1752.69,2,90.2843601895734,11,25.4,6,90.9090909090909,2
20843,dysfonction,0.09,<dys<(fonction),"(1, 1, 0)",2,0.86,3,50,7,75.05,8,85.7142857142857,2
20876,ébranla,3.24,<é<(branler),"(1, 1, 0)",86,320.17,1,16.2790697674418,2,3.25,7,0,2
20923,échange,57.48,<é<(changer),"(1, 1, 0)",86,320.17,1,0,6,526.87,7,16.6666666666666,2
20974,échéant,0.47,<é<(choir),"(1, 1, 0)",86,320.17,1,58.1395348837209,3,3.58,5,66.6666666666666,2
21025,éclairs,3.39,<é<(clair),"(1, 1, 0)",86,320.17,1,15.1162790697674,16,213.31,5,37.5,2
21093,écoula,9.68,<é<(couler),"(1, 1, 0)",86,320.17,1,6.97674418604651,4,59.64,6,25,2
21186,écroula,12.7099999999999,<é<(crouler),"(1, 1, 0)",86,320.17,1,5.81395348837209,3,15.9499999999999,7,0,2
21376,élança,2.16,<é<(lancer),"(1, 1, 0)",86,320.17,1,22.0930232558139,6,107.75,6,66.6666666666666,2
21588,embrouillai,15.58,<en<(brouiller),"(1, 1, 0)",218,2094.69,2,11.9266055045871,11,82.22,9,9.09090909090909,2
21599,embuée,0.04,<en<(buer),"(1, 1, 0)",218,2094.69,2,80.7339449541284,3,0.52,4,66.6666666666666,2
21636,émigré,2.8,<é<(migrer),"(1, 1, 0)",86,320.17,1,19.7674418604651,7,11.79,6,14.2857142857142,2
21646,emmêle,0.69,<en<(mêler),"(1, 1, 0)",218,2094.69,2,54.1284403669724,3,55.7299999999999,5,66.6666666666666,2
21650,emmena,268.31,<en<(mener),"(1, 1, 0)",218,2094.69,2,0,8,729.78,5,0,2
21784,emplâtres,0.03,<en<(plâtre),"(1, 1, 0)",218,2094.69,2,82.1100917431192,2,0.05,6,0,2
21830,emporta,45.2,<en<(porter),"(1, 1, 0)",218,2094.69,2,5.5045871559633,24,892.509999999999,6,12.5,2
21835,emporte,21.9,<en<(porte),"(1, 1, 0)",218,2094.69,2,9.63302752293578,13,600.499999999999,5,15.3846153846153,2
21848,empressa,0.72,<en<(presser),"(1, 1, 0)",218,2094.69,2,53.2110091743119,5,126.84,7,40,2
21854,empresseras,0.01,<en<(presseras),"(1, 1, 0)",218,2094.69,2,86.2385321100917,1,0.01,9,0,2
