,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
8839,significative,1.48,(signe)>ifier>>if>,"(0, 1, 2)",11,306.679999999999,5,63.6363636363636,27,49.0699999999999,5,29.6296296296296,168,409.409999999999,2,39.2857142857142,3
8877,sinuosités,0,(sinuer)>eux>>ités>,"(0, 1, 2)",3,0.649999999999999,6,33.3333333333333,271,1027.7,3,93.7269372693726,60,83.33,4,83.3333333333333,3
8915,socialisme,4.9,(socio)>al>>isme>,"(0, 1, 2)",14,177.549999999999,5,35.7142857142857,200,1125.04,2,21,91,100.85,4,4.39560439560439,3
8916,socialistes,8.36,(socio)>al>>iste>,"(0, 1, 2)",14,177.549999999999,5,28.5714285714285,200,1125.04,2,14.4999999999999,119,322.749999999999,4,9.24369747899159,3
8964,solidarité,2.87,(solide)>aire>>ité>,"(0, 1, 2)",6,32.17,6,16.6666666666666,179,853.76,4,35.1955307262569,334,1491.88,3,23.6526946107784,3
8995,somnolence,0.36,(sommeil)>ol[VB]>>nce>,"(0, 1, 2)",10,60.06,7,60,3,0.86,5,33.3333333333333,213,1491.29,3,74.6478873239436,3
8996,somnolente,0.08,(sommeil)>ol[VB]>>ant/ent>,"(0, 1, 2)",10,60.06,7,70,3,0.86,5,66.6666666666666,522,3302.43999999999,7,80.8429118773946,3
9019,sonorité,0.26,(son)>ore>>ité>,"(0, 1, 2)",18,1894.35999999999,3,66.6666666666666,6,5.18999999999999,3,33.3333333333333,334,1491.88,3,76.0479041916167,3
9020,sonorités,0.04,(son)>ore>>ités>,"(0, 1, 2)",18,1894.35999999999,3,83.3333333333333,6,5.18999999999999,3,50,60,83.33,4,76.6666666666666,3
9025,sorcellerie,5.21,(sorc)>ell>>erie>,"(0, 1, 2)",2,62.84,4,50,1,5.21,3,0,109,267.479999999999,4,7.3394495412844,3
9264,spiritualité,0.79,(esprit)>el>>ité>,"(0, 1, 2)",4,169.109999999999,6,50,153,1103.39999999999,2,56.2091503267973,334,1491.88,3,54.191616766467,3
9282,sportivité,0.02,(sport)>if>>ité>,"(0, 1, 2)",4,40.88,5,50,168,409.409999999999,2,86.3095238095238,334,1491.88,3,88.9221556886227,3
9332,stérilisateur,0.18,(stérile)>is[VB]>>eur>,"(0, 1, 2)",5,8.82,7,60,126,424.71,5,53.1746031746031,501,2127.06,3,74.4510978043912,3
9333,stérilisation,0.37,(stérile)>is[VB]>>ion>,"(0, 1, 2)",5,8.82,7,40,126,424.71,5,42.8571428571428,766,3498.54,3,77.5456919060052,3
9518,supériorité,2,(supér)>eur>>ité>,"(0, 1, 2)",3,41.92,5,33.3333333333333,501,2127.06,3,33.7325349301397,334,1491.88,3,32.3353293413173,3
9834,teinturier,0.99,(teindre)>ure>>ier>,"(0, 1, 2)",5,13.95,7,60,122,595.65,3,52.4590163934426,181,847.1,3,46.4088397790055,3
9878,temporalités,0,(temps)>el>>ités>,"(0, 1, 2)",11,1340.11,5,81.8181818181818,153,1103.39999999999,2,90.8496732026143,60,83.33,4,83.3333333333333,3
9884,ténacité,0.89,(tén)>ace>>ité>,"(0, 1, 2)",1,0.89,3,0,15,28.65,3,40,334,1491.88,3,51.1976047904191,3
9889,tenancière,0.31,(tenir)>nce>>ier>,"(0, 1, 2)",25,976.42,5,84,213,1491.29,3,75.1173708920187,181,847.1,3,69.6132596685082,3
9970,terrifiante,3.12,(terr)>ifier>>ant/ent>,"(0, 1, 2)",9,153,4,66.6666666666666,27,49.0699999999999,5,22.2222222222222,522,3302.43999999999,7,25.8620689655172,3
9977,territoriale,0.35,(terre)>oire>>al>,"(0, 1, 2)",19,522.31,5,78.9473684210526,47,114.259999999999,4,76.595744680851,200,1125.04,2,67.5,3
9981,terrorisme,5.59,(terr)>eur>>isme>,"(0, 1, 2)",9,153,4,44.4444444444444,501,2127.06,3,13.9720558882235,91,100.85,4,3.29670329670329,3
9982,terroristes,23.87,(terr)>eur>>iste>,"(0, 1, 2)",9,153,4,11.1111111111111,501,2127.06,3,3.59281437125748,119,322.749999999999,4,2.52100840336134,3
9991,tétanisation,0,(tétan)>is[VB]>>ion>,"(0, 1, 2)",1,0,5,0,126,424.71,5,87.3015873015873,766,3498.54,3,96.6057441253263,3
10080,tirailleur,0.12,(tir)>aill[VB]>>eur>,"(0, 1, 2)",9,507.719999999999,3,88.8888888888888,3,0.13,7,0,501,2127.06,3,78.8423153692614,3
10136,tonalité,1.26,(ton)>al>>ité>,"(0, 1, 2)",10,65.48,3,40,200,1125.04,2,46.5,334,1491.88,3,41.6167664670658,3
10186,tortionnaire,0.5,(tort)>ion>>aire>,"(0, 1, 2)",3,68.91,4,33.3333333333333,766,3498.54,3,73.2375979112271,179,853.76,4,70.949720670391,3
10215,touristiques,2.54,(tour)>iste>>ique>,"(0, 1, 2)",31,1014.31,4,51.6129032258064,119,322.749999999999,4,18.4873949579831,281,852.449999999999,4,27.0462633451957,3
10229,tournoiement,0.04,(tour)>oie>>ment>,"(0, 1, 2)",31,1014.31,4,93.5483870967741,1,0.04,3,0,919,5042.80999999999,4,85.4189336235038,3
10306,tranquillisants,1.56,(tranquille)>is[VB]>>ant/ent>,"(0, 1, 2)",5,140.26,10,60,126,424.71,5,22.2222222222222,522,3302.43999999999,7,38.1226053639846,3
10310,transcendantales,0,(transcend)>ant/ent>>al>,"(0, 1, 2)",1,0,9,0,522,3302.43999999999,7,93.2950191570881,200,1125.04,2,96.5,3
10360,trapézoïdale,0,(trapèze)>oïd>>al>,"(0, 1, 2)",2,1.1,7,50,2,0.08,3,50,200,1125.04,2,96.5,3
10395,tremblotante,0.07,(trembler)>ot>>ant/ent>,"(0, 1, 2)",7,46.0199999999999,8,57.1428571428571,32,58.0999999999999,2,75,522,3302.43999999999,7,81.2260536398467,3
10396,tremblotement,0,(trembler)>ot>>ment>,"(0, 1, 2)",7,46.0199999999999,8,85.7142857142857,32,58.0999999999999,2,87.5,919,5042.80999999999,4,93.4711643090315,3
10545,tubulures,0,(tube)>ule>>ure>,"(0, 1, 2)",5,20.54,4,80,11,6.53,3,72.7272727272727,122,595.65,3,94.2622950819672,3
10633,universalité,0,(univers)>el>>ité>,"(0, 1, 2)",3,39.51,7,66.6666666666666,153,1103.39999999999,2,90.8496732026143,334,1491.88,3,94.6107784431137,3
10649,urgentiste,0.25,(urger)>ant/ent>>iste>,"(0, 1, 2)",4,84.07,5,50,522,3302.43999999999,7,69.5402298850574,119,322.749999999999,4,57.1428571428571,3
10653,usagers,0.05,(user)>age>>er>,"(0, 1, 2)",10,33.14,4,70,201,707.48,3,78.6069651741293,37,316.04,2,91.8918918918919,3
10661,usurier,1.2,(user)>ure>>ier>,"(0, 1, 2)",10,33.14,4,30,122,595.65,3,47.5409836065573,181,847.1,3,43.0939226519337,3
10666,utilisateur,0.79,(utile)>is[VB]>>eur>,"(0, 1, 2)",13,322.82,5,61.5384615384615,126,424.71,5,33.3333333333333,501,2127.06,3,53.8922155688622,3
10667,utilisation,4.47,(utile)>is[VB]>>ion>,"(0, 1, 2)",13,322.82,5,23.076923076923,126,424.71,5,9.52380952380952,766,3498.54,3,24.0208877284595,3
10668,utilitaires,0.28,(utile)>ité>>aire>,"(0, 1, 2)",13,322.82,5,76.9230769230769,334,1491.88,3,74.5508982035928,179,853.76,4,75.9776536312849,3
10672,vacanciers,0.2,(vac)>nce>>ier>,"(0, 1, 2)",5,69.5099999999999,3,60,213,1491.29,3,82.6291079812206,181,847.1,3,75.1381215469613,3
