,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
19625,désactivation,0.41,<dé<(acte)>if>>ion>,"(1, 1, 2)",422,1752.69,2,56.8720379146919,23,301.26,4,86.9565217391304,168,409.409999999999,2,59.5238095238095,766,3498.54,3,76.2402088772846,4
19626,désactive,3.78999999999999,<dé<(acte)>if>>[VB]>,"(1, 1, 2)",422,1752.69,2,18.9573459715639,23,301.26,4,39.1304347826086,168,409.409999999999,2,19.047619047619,1600,25208.9699999999,2,31.5625,4
19635,désagréablement,0.13,<dé<(agréer)>able>>ment>,"(1, 1, 2)",422,1752.69,2,70.8530805687203,8,57.69,6,87.5,313,1042.69,4,81.1501597444089,919,5042.80999999999,4,76.6050054406964,4
19696,désensibilisation,0.32,<dé<(sensible)>is[VB]>>ion>,"(1, 1, 2)",422,1752.69,2,59.7156398104265,1,0.32,8,0,126,424.71,5,44.4444444444444,766,3498.54,3,79.7650130548302,4
20162,dialecticiens,0.01,<dia<(lecte)>ique>>ien>,"(1, 1, 2)",4,19.02,3,75,5,24.42,5,80,281,852.449999999999,4,89.6797153024911,66,291.01,3,87.8787878787878,4
21002,éclairagistes,0.01,<é<(clair)>age>>iste>,"(1, 1, 2)",86,320.17,1,88.3720930232558,16,213.31,5,87.5,201,707.48,3,85.0746268656716,119,322.749999999999,4,89.9159663865546,4
21012,éclaircissement,0.19,<é<(clair)>[VB]>>ment>,"(1, 1, 2)",86,320.17,1,67.4418604651162,16,213.31,5,81.25,1600,25208.9699999999,2,69.8125,919,5042.80999999999,4,70.8378672470076,4
21359,égratignure,3.97,<é<(gratter)>ign[VB]>>ure>,"(1, 1, 2)",86,320.17,1,12.7906976744186,9,15.04,7,11.1111111111111,2,4.04,6,0,122,595.65,3,22.1311475409836,4
21393,élargissement,0.17,<é<(large)>[VB]>>ment>,"(1, 1, 2)",86,320.17,1,69.7674418604651,6,39.58,5,83.3333333333333,1600,25208.9699999999,2,70.625,919,5042.80999999999,4,71.70837867247,4
22335,ensanglanté,1.81,<en<(sang)>ant/ent>>[VB]>,"(1, 1, 2)",218,2094.69,2,36.2385321100917,9,354.92,4,55.5555555555555,522,3302.43999999999,7,35.4406130268199,1600,25208.9699999999,2,41.5625,4
23497,excommunication,0.72,<ex<(commun)>iqu[VB]>>ion>,"(1, 1, 2)",23,79.38,2,60.8695652173913,8,97.82,6,75,3,1.04999999999999,6,0,766,3498.54,3,66.1879895561357,4
26214,hyperémotivité,0,<hyper<(émot)>if>>ité>,"(1, 1, 2)",3,1.93,5,66.6666666666666,5,35.1,4,80,168,409.409999999999,2,92.2619047619047,334,1491.88,3,94.6107784431137,4
26368,immanquablement,0.1,<in<(manquer)>able>>ment>,"(1, 1, 2)",427,1478.96,2,84.7775175644028,4,283.39,7,75,313,1042.69,4,83.7060702875399,919,5042.80999999999,4,79.8694232861806,4
26411,immortalité,3.67,<in<(mort)>el>>ité>,"(1, 1, 2)",427,1478.96,2,17.0960187353629,8,1085,4,37.5,153,1103.39999999999,2,31.3725490196078,334,1491.88,3,19.4610778443113,4
26447,imperceptiblement,0.14,<in<(percevoir)>able>>ment>,"(1, 1, 2)",427,1478.96,2,81.4988290398126,9,44.7399999999999,9,77.7777777777777,313,1042.69,4,80.1916932907348,919,5042.80999999999,4,74.537540805223,4
26465,imperturbablement,0,<in<(perturber)>able>>ment>,"(1, 1, 2)",427,1478.96,2,95.0819672131147,6,15.3799999999999,9,83.3333333333333,313,1042.69,4,95.5271565495207,919,5042.80999999999,4,93.4711643090315,4
26469,impitoyablement,0.4,<in<(pitié)>able>>ment>,"(1, 1, 2)",427,1478.96,2,67.9156908665105,4,83.48,5,75,313,1042.69,4,67.4121405750798,919,5042.80999999999,4,60.0652883569096,4
26471,implacabilité,0.02,<in<(plaque)>bil>>ité>,"(1, 1, 2)",427,1478.96,2,90.8665105386416,4,2.17999999999999,6,75,1,0.02,3,0,334,1491.88,3,88.9221556886227,4
26578,imprudemment,0.34,<in<(prud)>ant/ent>>ment>,"(1, 1, 2)",427,1478.96,2,71.1943793911007,7,52.87,4,85.7142857142857,522,3302.43999999999,7,64.9425287356322,919,5042.80999999999,4,62.7856365614798,4
26596,impulsivité,0.13,<in<(puls)>if>>ité>,"(1, 1, 2)",427,1478.96,2,83.1381733021077,10,39.43,4,80,168,409.409999999999,2,75,334,1491.88,3,82.9341317365269,4
26676,incessamment,0.48,<in<(céder)>ant/ent>>ment>,"(1, 1, 2)",427,1478.96,2,63.231850117096,12,66.31,5,66.6666666666666,522,3302.43999999999,7,60.727969348659,919,5042.80999999999,4,55.8215451577801,4
26732,incomparablement,0.01,<in<(comparer)>able>>ment>,"(1, 1, 2)",427,1478.96,2,93.2084309133489,5,33.51,8,80,313,1042.69,4,91.3738019169329,919,5042.80999999999,4,90.0979325353645,4
26771,incontestablement,0.61,<in<(contester)>able>>ment>,"(1, 1, 2)",427,1478.96,2,56.4402810304449,6,6.06,9,50,313,1042.69,4,57.1884984025559,919,5042.80999999999,4,50.5984766050054,4
26787,incrédulité,0.58,<in<(créd)>ule>>ité>,"(1, 1, 2)",427,1478.96,2,58.07962529274,3,3.17,4,66.6666666666666,11,6.53,3,45.4545454545454,334,1491.88,3,61.6766467065868,4
26792,incroyablement,5.55,<in<(croire)>able>>ment>,"(1, 1, 2)",427,1478.96,2,9.60187353629976,9,819.419999999999,6,55.5555555555555,313,1042.69,4,11.5015974440894,919,5042.80999999999,4,13.2752992383025,4
26829,indépendamment,0.55,<in<(dépendre)>ant/ent>>ment>,"(1, 1, 2)",427,1478.96,2,59.4847775175644,5,79.65,8,80,522,3302.43999999999,7,58.0459770114942,919,5042.80999999999,4,52.8835690968444,4
26850,indifféremment,0.06,<in<(différer)>ant/ent>>ment>,"(1, 1, 2)",427,1478.96,2,86.6510538641686,11,221.36,8,90.9090909090909,522,3302.43999999999,7,82.375478927203,919,5042.80999999999,4,83.7867247007617,4
26892,indiscutablement,0.25,<in<(discuter)>able>>ment>,"(1, 1, 2)",427,1478.96,2,75.8782201405152,5,119.24,8,60,313,1042.69,4,74.4408945686901,919,5042.80999999999,4,68.0087051142546,4
26955,inévitablement,1.02,<in<(éviter)>able>>ment>,"(1, 1, 2)",427,1478.96,2,44.4964871194379,3,92.94,6,66.6666666666666,313,1042.69,4,46.3258785942492,919,5042.80999999999,4,41.3492927094668,4
26960,inexorablement,0.33,<in<(exor)>able>>ment>,"(1, 1, 2)",427,1478.96,2,72.1311475409836,2,0.66,4,0,313,1042.69,4,71.2460063897763,919,5042.80999999999,4,63.3297062023939,4
26964,inexplicablement,0.23,<in<(expliquer)>able>>ment>,"(1, 1, 2)",427,1478.96,2,77.0491803278688,5,232.79,9,60,313,1042.69,4,76.0383386581469,919,5042.80999999999,4,68.879216539717,4
26971,infailliblement,0.27,<in<(faille)>able>>ment>,"(1, 1, 2)",427,1478.96,2,75.175644028103,7,62.6,6,85.7142857142857,313,1042.69,4,73.4824281150159,919,5042.80999999999,4,66.0500544069641,4
27017,inflammabilité,0.02,<in<(flamme)>able>>ité>,"(1, 1, 2)",427,1478.96,2,90.8665105386416,4,35.05,6,50,313,1042.69,4,89.1373801916933,334,1491.88,3,88.9221556886227,4
27067,ingéniosité,0.7,<in<(génie)>eux>>ité>,"(1, 1, 2)",427,1478.96,2,53.3957845433255,6,197.2,5,66.6666666666666,271,1027.7,3,47.2324723247232,334,1491.88,3,57.7844311377245,4
27123,inlassablement,0.38,<in<(las)>able>>ment>,"(1, 1, 2)",427,1478.96,2,70.023419203747,5,10.4,3,40,313,1042.69,4,69.3290734824281,919,5042.80999999999,4,60.7181719260065,4
27212,insensiblement,0.1,<in<(sentir)>able>>ment>,"(1, 1, 2)",427,1478.96,2,84.7775175644028,28,914.42,6,82.1428571428571,313,1042.69,4,83.7060702875399,919,5042.80999999999,4,79.8694232861806,4
